Size,DataType,CPU_Time_ms,GPU_Time_ms,GPU_Kernel_ms,Speedup,CPU_Sum,GPU_Sum
1000,double,0.01039,94.6604,0.52059,0.000109761,499.2,499.2
5000,double,0.01808,3.20993,0.39389,0.00563252,2498.92,2498.92
10000,double,0.02749,4.20509,0.3241,0.00653732,4991.42,4991.42
50000,double,0.15796,2.17652,0.67632,0.0725746,25030.3,25030.3
100000,double,0.25381,2.69873,1.09342,0.0940479,49969.4,49969.4
500000,double,1.3236,6.02752,1.85433,0.219593,250209,250209
1000000,double,2.38425,9.22794,2.13933,0.258373,500178,500178
