Размер,int (общее),int (ядро),float (общее),float (ядро),double (общее),double (ядро)
1000,2.03454e-05,0.0037526213163606935,5.1061e-05,0.010445299615173173,4.40857e-05,0.007100450490766432
5000,0.00215681,0.008529575375486742,0.0118093,0.05093609914740265,0.0104174,0.05398387317206505
10000,0.00311816,0.010212281524141165,0.0228781,0.08578644474806442,0.0200615,0.06778016140565941
50000,0.0167032,0.047291223089661695,0.0823458,0.20862037056077648,0.0738424,0.19697862232779098
100000,0.024258,0.06359311599272421,0.148938,0.381825144030773,0.150694,0.35537582689041697
500000,0.0565829,0.11334308449057733,0.308548,0.6595399587142435,0.229871,0.6757784450682159
1000000,0.0725147,0.19325044053299542,0.398327,1.0387949108812227,0.248369,1.0931860758525767
