Size,DataType,CPU_Time_ms,GPU_Time_ms,GPU_Kernel_ms,Speedup,CPU_Sum,GPU_Sum
1000,int,0.00102,50.1342,0.27181,2.03454e-05,50425,50425
5000,int,0.0023,1.06639,0.26965,0.00215681,252405,252405
10000,int,0.00305,0.97814,0.29866,0.00311816,504188,504188
50000,int,0.01999,1.19678,0.4227,0.0167032,2.52813e+06,2.52813e+06
100000,int,0.03636,1.49889,0.57176,0.024258,5.04707e+06,5.04707e+06
500000,int,0.2007,3.54701,1.77073,0.0565829,2.52711e+07,2.52711e+07
1000000,int,0.39042,5.38401,2.02028,0.0725147,5.05181e+07,5.05181e+07
